"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL1515808";"";"";"Small molecule";"0";"295.38";"10";"14";"2.97";"49.33";"3";"2";"0";"5";"N";"0.83";"10.41";"9.64";"3.17";"1.24";"2";"MOL";"-1";"22";"3";"2";"0";"295.1572";"BASE";"C19H21NO2";"O=C1c2ccccc2CCC1CNCCc1ccc(O)cc1"
"CHEMBL396298";"ELACRIDAR";"ELACRIDAR";"Small molecule";"0";"563.65";"20";"115";"5.56";"92.89";"6";"2";"2";"8";"N";"0.24";"13.88";"8.36";"6.81";"5.81";"5";"MOL";"0";"42";"8";"2";"2";"563.2420";"NEUTRAL";"C34H33N3O5";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2"
"CHEMBL18331";"PIRENPERONE";"PIRENPERONE|R-47,465";"Small molecule";"0";"393.46";"41";"83";"3.28";"54.68";"5";"0";"0";"5";"N";"0.62";"None";"8.02";"2.82";"2.11";"3";"MOL";"0";"29";"5";"0";"0";"393.1853";"NEUTRAL";"C23H24FN3O2";"Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1"
"CHEMBL145347";"LASALOCID";"LASALOCID|Lasalocid|RO 2-2985";"Small molecule";"0";"590.80";"13";"29";"5.84";"133.52";"7";"4";"2";"13";"N";"0.23";"2.64";"None";"7.67";"4.16";"1";"MOL";"0";"42";"8";"4";"2";"590.3819";"ACID";"C34H54O8";"CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C"
"CHEMBL431770";"ISTRADEFYLLINE";"ISTRADEFYLLINE|KW-6002";"Small molecule";"3";"384.44";"23";"111";"2.12";"80.28";"8";"0";"0";"6";"N";"0.65";"None";"None";"2.42";"2.42";"3";"MOL";"0";"28";"8";"0";"0";"384.1798";"NEUTRAL";"C20H24N4O4";"CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O"
"CHEMBL491";"HYDROXYFLUTAMIDE";"HYDROXYFLUTAMIDE|Hydroxyflutamide";"Small molecule";"2";"292.21";"28";"119";"2.32";"92.47";"4";"2";"0";"3";"N";"0.66";"11.79";"None";"2.21";"2.21";"1";"MOL";"0";"20";"6";"2";"0";"292.0671";"NEUTRAL";"C11H11F3N2O4";"CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1"
"CHEMBL1619";"CLADRIBINE";"CLADARIBINE|CLADRIBINE|LEUSTAT|LEUSTATIN|LITAK|Leustatin|MAVENCLAD|NSC-05014|NSC-105014|NSC-105014-F|RWJ 26251";"Small molecule";"4";"285.69";"181";"520";"-0.30";"119.31";"8";"3";"0";"2";"N";"0.65";"13.89";"2.22";"-0.28";"-0.28";"2";"MOL";"0";"19";"8";"4";"0";"285.0629";"NEUTRAL";"C10H12ClN5O3";"Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1"
"CHEMBL460291";"LACIDIPINE";"CALDINE|GR 43659X|LACIDIPINE|MOLAP|MOTENS";"Small molecule";"4";"455.55";"132";"866";"4.40";"90.93";"7";"1";"0";"7";"N";"0.37";"None";"None";"4.19";"4.19";"1";"MOL";"0";"33";"7";"1";"0";"455.2308";"NEUTRAL";"C26H33NO6";"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C"
"CHEMBL1201198";"PEMIROLAST";"PEMIROLAST";"Small molecule";"4";"228.22";"5";"5";"0.18";"88.83";"6";"1";"0";"1";"N";"0.64";"2.60";"0.39";"0.24";"-1.38";"3";"MOL";"0";"17";"7";"1";"0";"228.0760";"ACID";"C10H8N6O";"Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12"
"CHEMBL1185";"ZOLMITRIPTAN";"311-C-90|311C90|ZOLMITRIPTAN|ZOMIG|ZOMIG-ZMT";"Small molecule";"4";"287.36";"40";"136";"1.92";"57.36";"3";"2";"0";"5";"N";"0.88";"13.00";"9.55";"2.04";"-0.09";"2";"MOL";"0";"21";"5";"2";"0";"287.1634";"BASE";"C16H21N3O2";"CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12"
