ChEMBL ID,standard_value
CHEMBL1672558,10000
,
CHEMBL3092807,9.8
,
CHEMBL280974,49.5
,
CHEMBL2029422,30000
,
CHEMBL2431867,34673.69
,
CHEMBL1233300,758.58
,
CHEMBL254578,11600
,
CHEMBL3422104,1
,
CHEMBL3218011,8
,
CHEMBL1413473,1300
,
CHEMBL391997,600
,
CHEMBL1650443,100000
,
CHEMBL1456284,56800
,
CHEMBL521179,56
,
CHEMBL222102,1800
,
CHEMBL519240,3.9
,
CHEMBL1377408,80000
,
CHEMBL3808844,19
,
CHEMBL2178953,132
,
CHEMBL95692,19
,
CHEMBL3326831,38
,
CHEMBL98350,1400
,
CHEMBL1652,0.12
,
CHEMBL1398351,20400
,
CHEMBL365739,460
,
CHEMBL4082420,32000
,
CHEMBL75232,77
,
CHEMBL9352,141100
,
CHEMBL1256645,10000
,
CHEMBL1256915,1520
,
CHEMBL1257040,16000
,
CHEMBL1257109,3162.28
,
CHEMBL2057912,8.2
,
CHEMBL1650951,1017
,
CHEMBL2030402,3.4
,
CHEMBL3233142,7
,
CHEMBL2138625,100
,
CHEMBL1256839,12589.25
,
CHEMBL1672002,28000
,
CHEMBL2058156,2200
,
CHEMBL1618018,50000
,
CHEMBL3911801,12.7
,
CHEMBL1727,41600
,
CHEMBL590,55000
,
CHEMBL1204337,12589.25
,
CHEMBL1256362,47100
,
CHEMBL1398474,1280
,
CHEMBL223448,25000
,
CHEMBL3421968,3
,
CHEMBL53292,133000
,
CHEMBL291536,40
,
CHEMBL307639,5200
,
CHEMBL85139,260
,
CHEMBL273386,1000000
,
CHEMBL1356607,12589.25
,
CHEMBL42710,100000
,
CHEMBL31907,10000
,
CHEMBL1614712,9100
,
CHEMBL208943,61
,
CHEMBL2165191,870
,
CHEMBL1446457,10232.93
,
CHEMBL2106227,20640
,
CHEMBL418971,8600000
,
CHEMBL131921,400
,
CHEMBL539163,0.5
,
CHEMBL2047521,100000
,
CHEMBL39999,800
,
CHEMBL4078477,80
,
CHEMBL1917204,30.1
,
CHEMBL2204502,56
,
CHEMBL2017214,12
,
CHEMBL1951415,8
,
CHEMBL3355096,200000
,
CHEMBL561533,5
,
CHEMBL1255588,12
,
CHEMBL1257423,2000
,
CHEMBL3287735,16
,
CHEMBL2177380,1552
,
CHEMBL4089840,1288.25
,
CHEMBL209569,0.9
,
CHEMBL1229535,16
,
CHEMBL3094387,10000
,
CHEMBL393929,1140
,
CHEMBL3116252,500000
,
CHEMBL2023158,100
,
CHEMBL375270,3300
,
CHEMBL353581,200
,
CHEMBL3360305,28
,
CHEMBL3401292,160
,
CHEMBL565269,2100
,
CHEMBL1476605,6420
,
CHEMBL539313,6309.57
,
CHEMBL2430359,14
,
CHEMBL592374,51
,
CHEMBL600764,10000
,
CHEMBL583042,48
,
CHEMBL327002,17
,
CHEMBL254760,29
,
CHEMBL539507,50000
,
CHEMBL1553629,10000
,
CHEMBL473159,392500
,
CHEMBL464859,160
,
CHEMBL514344,30
,
CHEMBL1410068,3220
,
CHEMBL1099,1000000
,
CHEMBL99377,0.48
,
CHEMBL344151,0.1
,
CHEMBL14690,1
,
CHEMBL55659,5000
,
CHEMBL362223,2600
,
CHEMBL473773,3000
,
CHEMBL477936,86000
,
CHEMBL477923,7400
,
CHEMBL53325,9290
,
CHEMBL32813,1258.93
,
CHEMBL34730,0.04
,
CHEMBL286615,2100
,
CHEMBL254575,96
,
CHEMBL250699,850
,
CHEMBL249973,0.5623
,
CHEMBL269881,7000
,
CHEMBL512504,27072.3
,
CHEMBL470670,74600
,
CHEMBL504323,22000
,
CHEMBL434063,10000
,
CHEMBL495575,500
,
CHEMBL1256484,15848.93
,
CHEMBL1697853,1000000
,
CHEMBL259389,600
,
CHEMBL259972,1.4
,
CHEMBL338802,100000
,
CHEMBL3311302,25118.86
,
CHEMBL2356692,709.9
,
CHEMBL1171146,3300
,
CHEMBL1255739,6309.57
,
CHEMBL1778663,52
,
CHEMBL180127,166200.85
,
CHEMBL265628,100000
,
CHEMBL1397270,1000
,
CHEMBL1200450,1995.26
,
CHEMBL1256478,12589.25
,
CHEMBL435734,2100
,
CHEMBL1887891,10000
,
CHEMBL462547,1000000
,
CHEMBL514499,2
,
CHEMBL39221,70000
,
CHEMBL43064,440
,
CHEMBL42126,1
,
CHEMBL1092926,303
,
CHEMBL1200596,50000
,
CHEMBL37387,1000
,
CHEMBL38576,11
,
CHEMBL829,249000
,
CHEMBL53418,30000
,
CHEMBL131171,4160
